Ds,Da,rate_bits
0.33734177215189876,0.6955696202531647,1.2585921931431479
0.33734177215189876,0.7278481012658229,1.2585921931431479
0.33734177215189876,0.7601265822784812,1.2585921931431479
0.33734177215189876,0.7924050632911395,1.2585921931431479
0.33734177215189876,0.8246835443037976,1.2585921931431479
0.33734177215189876,0.8569620253164558,1.2585921931431479
0.33734177215189876,0.8892405063291141,1.2585921931431479
0.33734177215189876,0.9215189873417724,1.2585921931431479
0.33734177215189876,0.9537974683544306,1.2585921931431479
0.33734177215189876,0.9860759493670888,1.2585921931431479
0.33734177215189876,1.018354430379747,1.2585921931431479
0.33734177215189876,1.0506329113924053,1.2585921931431479
0.33734177215189876,1.0829113924050635,1.2585921931431479
0.33734177215189876,1.1151898734177217,1.2585921931431479
0.33734177215189876,1.1474683544303799,1.2585921931431479
0.33734177215189876,1.1797468354430383,1.2585921931431479
0.33734177215189876,1.2120253164556964,1.2585921931431479
0.33734177215189876,1.2443037974683546,1.2585921931431479
0.33734177215189876,1.276582278481013,1.2585921931431479
0.33734177215189876,1.3088607594936712,1.2585921931431479
0.33734177215189876,1.3411392405063294,1.2585921931431479
0.33734177215189876,1.3734177215189876,1.2585921931431479
0.33734177215189876,1.4056962025316457,1.2585921931431479
0.33734177215189876,1.4379746835443041,1.2585921931431479
0.33734177215189876,1.4702531645569623,1.2585921931431479
0.33734177215189876,1.5025316455696205,1.2585921931431479
0.33734177215189876,1.5348101265822789,1.2585921931431479
0.33734177215189876,1.567088607594937,1.2585921931431479
0.33734177215189876,1.5993670886075952,1.2585921931431479
0.33734177215189876,1.6316455696202534,1.2585921931431479
0.33734177215189876,1.6639240506329116,1.2585921931431479
0.33734177215189876,1.69620253164557,1.2585921931431479
0.33734177215189876,1.7284810126582282,1.2585921931431479
0.33734177215189876,1.7607594936708864,1.2585921931431479
0.33734177215189876,1.7930379746835448,1.2585921931431479
0.33734177215189876,1.825316455696203,1.2585921931431479
0.33734177215189876,1.857594936708861,1.2585921931431479
0.33734177215189876,1.8898734177215193,1.2585921931431479
0.33734177215189876,1.9221518987341775,1.2585921931431479
0.33734177215189876,1.9544303797468359,1.2585921931431479
0.33734177215189876,1.986708860759494,1.2585921931431479
0.33734177215189876,2.018987341772152,1.2585921931431479
0.33734177215189876,2.0512658227848104,1.2585921931431479
0.33734177215189876,2.0835443037974684,1.2585921931431479
0.33734177215189876,2.1158227848101268,1.2585921931431479
0.33734177215189876,2.148101265822785,1.2585921931431479
0.33734177215189876,2.180379746835443,1.2585921931431479
0.33734177215189876,2.2126582278481015,1.2585921931431479
0.33734177215189876,2.2449367088607595,1.2585921931431479
0.33734177215189876,2.277215189873418,1.2585921931431479
0.33734177215189876,2.3094936708860763,1.2585921931431479
0.33734177215189876,2.3417721518987342,1.2585921931431479
0.33734177215189876,2.3740506329113926,1.2585921931431479
0.33734177215189876,2.406329113924051,1.2585921931431479
0.33734177215189876,2.438607594936709,1.2585921931431479
0.33734177215189876,2.4708860759493674,1.2585921931431479
0.33734177215189876,2.5031645569620258,1.2585921931431479
0.33734177215189876,2.5354430379746837,1.2585921931431479
0.33734177215189876,2.567721518987342,1.2585921931431479
0.33734177215189876,2.6,1.2585921931431479
0.35417721518987344,0.05,2.6609640474436813
0.35417721518987344,0.08227848101265824,2.3016705150180052
0.35417721518987344,0.11455696202531647,2.06293147799063
0.35417721518987344,0.1468354430379747,1.8838639239684465
