Ds,x,g_x
0.39,-2.5,0.3051411361454543
0.39,-2.475,0.3052616706939768
0.39,-2.45,0.30538832479439076
0.39,-2.425,0.30552140587649945
0.39,-2.4,0.3056612364710426
0.39,-2.375,0.3058081549150446
0.39,-2.35,0.30596251608619046
0.39,-2.325,0.30612469216698435
0.39,-2.3,0.3062950734394108
0.39,-2.275,0.3064740691107757
0.39,-2.25,0.3066621081713464
0.39,-2.225,0.3068596402843485
0.39,-2.2,0.3070671367087927
0.39,-2.175,0.3072850912555169
0.39,-2.15,0.30751402127671396
0.39,-2.125,0.30775446868909273
0.39,-2.1,0.30800700103066925
0.39,-2.075,0.30827221255101617
0.39,-2.05,0.3085507253346065
0.39,-2.025,0.3088431904566632
0.39,-2.0,0.3091502891706786
0.39,-1.9749999999999999,0.3094727341264818
0.39,-1.95,0.30981127061741337
0.39,-1.925,0.3101666778548072
0.39,-1.9,0.31053977026757806
0.39,-1.875,0.31093139882426046
0.39,-1.8499999999999999,0.31134245237434777
0.39,-1.825,0.3117738590052217
0.39,-1.7999999999999998,0.31222658741034337
0.39,-1.775,0.31270164826369884
0.39,-1.75,0.3132000955947354
0.39,-1.7249999999999999,0.3137230281571996
0.39,-1.7,0.3142715907843776
0.39,-1.6749999999999998,0.31484697572224535
0.39,-1.65,0.31545042393094946
0.39,-1.625,0.3160832263438587
0.39,-1.5999999999999999,0.3167467250721458
0.39,-1.575,0.31744231454146765
0.39,-1.5499999999999998,0.31817144254582536
0.39,-1.525,0.31893561120206987
0.39,-1.5,0.31973637778680947
0.39,-1.4749999999999999,0.32057535543564
0.39,-1.45,0.32145421368267835
0.39,-1.4249999999999998,0.32237467881633525
0.39,-1.4,0.3233385340251118
0.39,-1.375,0.3243476193049719
0.39,-1.3499999999999999,0.32540383109752835
0.39,-1.325,0.3265091216259101
0.39,-1.2999999999999998,0.32766549789277866
0.39,-1.275,0.3288750203025497
0.39,-1.25,0.3301398008675057
0.39,-1.2249999999999999,0.33146200095518574
0.39,-1.2,0.3328438285322707
0.39,-1.1749999999999998,0.3342875348582061
0.39,-1.15,0.3357954105800935
0.39,-1.125,0.33736978117901656
0.39,-1.0999999999999999,0.33901300171704696
0.39,-1.075,0.3407274508338045
0.39,-1.0499999999999998,0.34251552394174467
0.39,-1.025,0.3443796255704425
0.39,-1.0,0.3463221608121841
0.39,-0.9750000000000001,0.34834552582430645
0.39,-0.9499999999999997,0.3504520973481126
0.39,-0.9249999999999998,0.3526442212099841
0.39,-0.8999999999999999,0.35492419977769113
0.39,-0.875,0.35729427835401056
0.39,-0.8500000000000001,0.3597566305007565
0.39,-0.8249999999999997,0.36231334229934015
0.39,-0.7999999999999998,0.3649663955690921
0.39,-0.7749999999999999,0.367717650081887
0.39,-0.75,0.37056882483109976
0.39,-0.7250000000000001,0.37352147843457006
0.39,-0.6999999999999997,0.3765769887749225
0.39,-0.6749999999999998,0.3797365320060921
0.39,-0.6499999999999999,0.3830010610819322
0.39,-0.625,0.3863712839909263
0.39,-0.5999999999999996,0.3898476419097636
0.39,-0.5749999999999997,0.39343028751723474
0.39,-0.5499999999999998,0.39711906373778366
0.39,-0.5249999999999999,0.40091348321025083
0.39,-0.5,0.4048127088008861
0.39,-0.47499999999999964,0.4088155354995338
0.39,-0.44999999999999973,0.4129203740529072
0.39,-0.4249999999999998,0.41712523669793933
0.39,-0.3999999999999999,0.4214277253602524
0.39,-0.375,0.4258250226768086
0.39,-0.34999999999999964,0.43031388618694494
0.39,-0.32499999999999973,0.4348906460115718
0.39,-0.2999999999999998,0.43955120630595235
0.39,-0.2749999999999999,0.4442910507270624
0.39,-0.25,0.44910525210235797
0.39,-0.22499999999999964,0.4539884864235046
0.39,-0.19999999999999973,0.458935051217338
0.39,-0.17499999999999982,0.46393888826852736
0.39,-0.1499999999999999,0.4689936105859635
0.39,-0.125,0.4740925334200255
0.39,-0.09999999999999964,0.4792287090530381
0.39,-0.07499999999999973,0.48439496500308765
0.39,-0.04999999999999982,0.48958394520457366
0.39,-0.02499999999999991,0.4947881536601046
0.39,0.0,0.5
0.39,0.025000000000000355,0.5052118463398955
0.39,0.050000000000000266,0.5104160547954264
0.39,0.07500000000000018,0.5156050349969125
0.39,0.10000000000000009,0.520771290946962
0.39,0.125,0.5259074665799746
0.39,0.15000000000000036,0.5310063894140366
0.39,0.17500000000000027,0.5360611117314728
0.39,0.20000000000000018,0.5410649487826621
0.39,0.2250000000000001,0.5460115135764955
0.39,0.25,0.550894747897642
0.39,0.27500000000000036,0.5557089492729378
0.39,0.30000000000000027,0.5604487936940478
0.39,0.3250000000000002,0.5651093539884283
0.39,0.3500000000000001,0.5696861138130551
0.39,0.375,0.5741749773231913
0.39,0.40000000000000036,0.5785722746397477
0.39,0.42500000000000027,0.5828747633020607
